symbol,entry_time,exit_time,entry_price,exit_price,direction,quantity,entry_prob,expected_mfe_atr,expected_mae_atr,risk_multiplier,directional_bias,session_quality,volatility_regime,trend_regime,market_state,pnl,pnl_atr,actual_mfe,actual_mae,actual_mfe_atr,actual_mae_atr,holding_minutes,exit_reason
TITAN,2025-10-17 09:24:00+05:30,2025-10-17 10:07:00+05:30,3652.1,3686.0,1,1,0.6968512908072818,1.793001191696513,0.5251738587591497,0.6939885092984267,1,0.4,2,0,2,33.90000000000009,3.154031429983393,30.700000000000273,0.0,2.856305749277014,0.0,42,Session stopped (bad day)
TATAELXSI,2025-10-17 09:28:00+05:30,2025-10-17 10:07:00+05:30,5408.0,5375.0,-1,1,0.6989615293708922,1.7264723195083131,0.37630232908550837,0.6472699691973012,-1,0.4,2,1,2,33.0,1.8345852496761834,43.5,0.0,2.4183169200276966,0.0,38,Session stopped (bad day)
SIEMENS,2025-10-20 09:16:00+05:30,2025-10-20 09:19:00+05:30,3127.8,3138.6,-1,1,0.7383380424961952,1.8148193619546704,0.5398937047374028,0.7564035574562775,-1,0.7,2,1,2,-10.799999999999727,-1.6780015545645004,0.0,-10.799999999999727,0.0,-1.6780015545645004,3,Max loss hit
RELIANCE,2025-10-20 09:28:00+05:30,2025-10-20 09:35:00+05:30,1451.7,1454.6,-1,1,0.6870121661780189,1.6416380146229308,0.35740611274966533,0.6212545536136386,-1,0.4,2,1,2,-2.8999999999998636,-0.31858147824411437,0.0,-4.2999999999999545,0.0,-0.47237943325853166,7,Absorption failure (stalled)
TATAELXSI,2025-10-20 09:31:00+05:30,2025-10-20 09:41:00+05:30,5381.5,5419.0,-1,1,0.6945931573565879,1.480132600933015,0.26437986401257585,0.572418198101501,-1,0.4,2,0,2,-37.5,-1.586645659521055,1.5,-37.5,0.0634658263808422,-1.586645659521055,10,Max loss hit
RELIANCE,2025-10-20 09:36:00+05:30,2025-10-20 09:42:00+05:30,1455.3,1458.1,-1,1,0.7208059409105084,2.015947938581717,0.3268552633083771,0.6687632608619122,-1,0.7,2,1,2,-2.7999999999999545,-0.3685265100423129,0.8999999999998636,-3.7000000000000455,0.1184549496564417,-0.48698145969878454,5,Session stopped (bad day)
LT,2025-10-20 09:15:00+05:30,2025-10-20 09:42:00+05:30,3876.9,3859.3,-1,1,0.855801767951373,2.5546087749664057,0.5245036135477446,0.7607565917940832,-1,0.4,2,2,2,17.59999999999991,1.4060062892025762,19.800000000000182,0.0,1.5817570753529209,0.0,26,Session stopped (bad day)
SIEMENS,2025-10-20 09:41:00+05:30,2025-10-20 09:42:00+05:30,3142.4,3133.7,-1,1,0.7476354742963356,2.337743212431308,0.42352328368292097,0.7586481663046842,-1,0.7,2,1,1,8.700000000000273,0.993404811046377,0.0,0.0,0.0,0.0,0,Session stopped (bad day)
TITAN,2025-10-21 14:05:00+05:30,2025-10-21 14:11:00+05:30,3736.7,3737.0,1,1,0.688901084088411,1.7275867232551045,0.4329953778364016,0.6570518901897362,1,0.7,2,2,1,0.3000000000001819,0.03237537410628243,1.800000000000182,-0.29999999999972715,0.19425224463759647,-0.03237537410623336,6,Absorption failure (stalled)
LT,2025-10-21 14:08:00+05:30,2025-10-21 14:18:00+05:30,3888.8,3892.1,-1,1,0.6587218518327462,1.3596421996345072,0.4325500777479292,0.6933936623777326,-1,0.7,2,1,1,-3.299999999999727,-0.3591788118378826,0.0,-3.799999999999727,0.0,-0.4135998439345359,10,Absorption failure (stalled)
